distance,heat flow
-7.378160174435948, 136.18362897047558
-4.502327774176592, 106.41169190877483
5.987388767752918, 83.06323295421062
22.983086805350695, 66.13235900760208
52.09499675879556, 52.45742235841831
98.86263185809389, 42.067888502563505
152.1833932465081, 35.96853085037421
196.57021627673976, 33.013141611173324
210.99652307148313, 32.0260474983794
232.02310094878885, 33.20172078496083
271.7425894277799, 40.85980317048734
306.983322529318, 50.621721963580654
335.6709293417407, 56.0934645530084
374.4003771583473, 58.42713182862866
411.97477753550584, 62.882314809358235
441.7938593906533, 67.29624609582177
467.0163238847308, 79.1325358005775
474.6537804231243, 84.49230950556897